locationName,lat,lon,radius_m,run,duration_ms,payload_kb,elements_count,hospitals,clinics,banks,atms,railway_stations,bus_stops,hotels,restaurants
NewDelhi,28.6139,77.209,500,1,3000,3.09,7,0,0,0,0,1,6,0,0
NewDelhi,28.6139,77.209,500,2,1363,3.09,7,0,0,0,0,1,6,0,0
NewDelhi,28.6139,77.209,500,3,733,3.09,7,0,0,0,0,1,6,0,0
NewDelhi,28.6139,77.209,1600,1,777,41.14,112,2,3,6,13,5,67,6,9
NewDelhi,28.6139,77.209,1600,2,14727,41.14,112,2,3,6,13,5,67,6,9
NewDelhi,28.6139,77.209,1600,3,958,41.14,112,2,3,6,13,5,67,6,9
NewDelhi,28.6139,77.209,3000,1,4573,231.15,688,7,16,93,60,15,173,39,282
NewDelhi,28.6139,77.209,3000,2,4323,231.15,688,7,16,93,60,15,173,39,282
NewDelhi,28.6139,77.209,3000,3,4269,231.15,688,7,16,93,60,15,173,39,282
Mumbai,19.076,72.8777,500,1,534,4.49,16,2,0,3,2,0,1,3,5
Mumbai,19.076,72.8777,500,2,7061,4.49,16,2,0,3,2,0,1,3,5
Mumbai,19.076,72.8777,500,3,7232,4.49,16,2,0,3,2,0,1,3,5
Mumbai,19.076,72.8777,1600,1,920,29.28,103,24,5,15,5,1,20,9,24
Mumbai,19.076,72.8777,1600,2,852,29.28,103,24,5,15,5,1,20,9,24
Mumbai,19.076,72.8777,1600,3,756,29.28,103,24,5,15,5,1,20,9,24
Mumbai,19.076,72.8777,3000,1,4539,127.94,418,98,23,42,21,10,96,22,102
Mumbai,19.076,72.8777,3000,2,4802,127.94,418,98,23,42,21,10,96,22,102
Mumbai,19.076,72.8777,3000,3,4353,127.94,418,98,23,42,21,10,96,22,102
RuralMontana,46.8797,-110.3626,500,1,449,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,500,2,1747,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,500,3,559,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,1600,1,1272,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,1600,2,1640,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,1600,3,1909,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,3000,1,5075,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,3000,2,4927,0.28,0,0,0,0,0,0,0,0,0
RuralMontana,46.8797,-110.3626,3000,3,4522,0.28,0,0,0,0,0,0,0,0,0
